
Net n0 33
0 11458540 1020465 0
1 11469360 951750 30
2 11470185 975530 29
3 11470765 965630 30
4 11467080 992790 16
5 11510605 928155 26
6 11502800 951750 23
7 11480695 1016570 22
8 11507810 934490 25
9 11468600 1006470 21
10 11495135 927650 24
11 11473610 999470 31
12 11459415 982370 20
13 11509135 924915 26
14 11470580 1016730 22
15 11463280 1013310 27
16 11459480 992790 20
17 11510195 944910 8
18 11492920 941490 23
19 11484495 989210 31
20 11459415 992790 27
21 11468600 1013310 15
22 11470580 1016570 21
23 11492920 951750 1
24 11495135 928155 18
25 11507810 928155 24
26 11509135 928155 25
27 11459415 1013310 0
28 11467080 989210 4
29 11469360 975530 32
30 11469360 965630 29
31 11473610 989210 32
32 11469360 989210 28


Net n1 52
0 11453730 1017145 0
1 11468765 951555 44
2 11476085 935175 45
3 11550680 897030 51
4 11486725 938270 38
5 11467580 976090 36
6 11471775 965630 43
7 11466485 992595 35
8 11545295 903710 50
9 11470880 958590 44
10 11514335 928335 48
11 11502205 951555 41
12 11530415 897555 50
13 11488360 996210 37
14 11482925 976215 36
15 11480140 1017130 23
16 11506740 935050 40
17 11468005 1006275 34
18 11494580 928210 39
19 11473095 999470 17
20 11530095 910550 49
21 11458860 982930 42
22 11509645 924915 48
23 11470120 1016730 33
24 11462685 1013115 33
25 11458885 992595 35
26 11552455 900650 51
27 11508765 944715 41
28 11492325 941295 38
29 11477410 955010 46
30 11509640 897030 49
31 11503495 913970 47
32 11483940 989770 37
33 11462685 1016730 0
34 11462685 1006275 24
35 11462685 992595 34
36 11467580 976215 42
37 11483940 996210 19
38 11486725 941295 46
39 11494580 941295 28
40 11506740 941295 39
41 11506740 944715 40
42 11466485 982930 7
43 11468765 965630 5
44 11468765 958590 43
45 11476085 951555 1
46 11477410 951555 45
47 11503495 928210 18
48 11509645 928210 47
49 11509640 910550 31
50 11530415 903710 20
51 11550680 900650 8


Net n2 20
0 14572770 4013065 0
1 14561705 3769585 18
2 14567815 3773090 17
3 14524465 3779845 18
4 14345960 3807450 11
5 14282710 3855550 12
6 14212200 3927150 7
7 14230345 3892705 5
8 14489505 3779845 3
9 14210585 3961105 6
10 14576680 3766250 17
11 14404415 3786770 15
12 14283545 3844825 4
13 14207545 4005565 19
14 14205190 3982090 19
15 14463590 3780310 8
16 14206025 4012405 13
17 14572770 3773090 0
18 14561705 3773090 2
19 14207545 3982090 9


Net n3 39
0 14427370 3753470 0
1 14560745 3769585 16
2 14619055 3978650 29
3 14645655 3982070 30
4 14710645 3896570 32
5 14603095 3982070 29
6 14686695 3927350 37
7 14444200 3749520 26
8 14712165 3917090 12
9 14711405 3852435 31
10 14670735 3982395 33
11 14690495 3982395 36
12 14713295 3910250 34
13 14714815 3951615 38
14 14626655 3982070 35
15 14594735 3982395 5
16 14556185 3773005 27
17 14553905 3790105 27
18 14714445 3903410 34
19 14659335 3978975 30
20 14689615 3855855 28
21 14681375 3978650 33
22 14610075 3841850 17
23 14695565 3896895 32
24 14707725 3876050 31
25 14710255 3964970 38
26 14444200 3753470 0
27 14553905 3773005 26
28 14610075 3855855 22
29 14610075 3978650 28
30 14645655 3978975 35
31 14707725 3855855 20
32 14707725 3896570 24
33 14670735 3978975 19
34 14713295 3903410 4
35 14626655 3978975 2
36 14686695 3978650 21
37 14686695 3951615 36
38 14710255 3951615 37


Net n4 3
0 13199210 562610 0
1 13199515 579170 2
2 13199470 575305 0


Net n5 29
0 13118365 545185 0
1 13207465 563055 26
2 13191505 624615 8
3 13126145 593835 22
4 13120825 573315 21
5 13123105 542535 0
6 13149705 628035 7
7 13140585 610935 25
8 13170225 628035 6
9 13162625 569895 14
10 13128425 590415 22
11 13174785 563055 28
12 13157305 597255 25
13 13109425 549375 27
14 13148185 576735 24
15 13136785 583575 10
16 13138305 597255 23
17 13196825 566475 26
18 13145905 586995 24
19 13165665 556215 28
20 13123105 566475 21
21 13120825 566475 27
22 13126145 590415 4
23 13138305 583575 15
24 13145905 583575 23
25 13140585 597255 16
26 13196825 563055 11
27 13118365 549375 0
28 13165665 563055 9


Net n6 5
0 11549215 435745 0
1 11456580 439150 4
2 11356785 441925 1
3 11552190 446105 4
4 11549215 439150 0


Net n7 4
0 14223665 1328365 0
1 14228045 1328475 3
2 14227305 1331125 3
3 14227305 1328475 0


Net n8 39
0 14540850 1236025 0
1 14229055 1328475 34
2 14236655 1184510 33
3 14245015 1325055 34
4 14241975 1359255 36
5 14221455 1358930 36
6 14245015 1208450 28
7 14223735 1314795 21
8 14536095 1246395 37
9 14531535 1304535 15
10 14531535 1348995 32
11 14226775 1321310 7
12 14244255 1171155 33
13 14535965 1342155 32
14 14238935 1256330 28
15 14537615 1252910 37
16 14245775 1246395 8
17 14255655 1318215 25
18 14520895 1307955 38
19 14242735 1198190 6
20 14233615 1342155 35
21 14223735 1297370 29
22 14241975 1304210 29
23 14522285 1342155 31
24 14529885 1321635 38
25 14250335 1307955 22
26 14503415 1328475 30
27 14227535 1352415 35
28 14245015 1246395 16
29 14238935 1297370 14
30 14529885 1328475 24
31 14529885 1342155 30
32 14531535 1342155 31
33 14242735 1184510 19
34 14229055 1325055 11
35 14229055 1342155 1
36 14227535 1358930 27
37 14537615 1246395 0
38 14529885 1307955 9


Net n9 31
0 9141050 2918665 0
1 8899480 2945450 22
2 8872995 2952450 26
3 8872120 3003590 30
4 8864635 2945610 24
5 8929235 3024270 17
6 8872995 3000330 29
7 8941280 3013850 12
8 8875895 3004095 30
9 8871335 2942535 25
10 8868525 2956070 26
11 8894735 2946135 23
12 8934645 3014210 27
13 8867560 2942030 25
14 8909935 2986850 18
