
Net n0 20
0 11458540 1020465 0
1 11469360 951750 12
2 11470185 975530 12
3 11470765 965630 2
4 11467080 992790 16
5 11510605 928155 10
6 11502800 951750 18
7 11480695 1016570 14
8 11507810 934490 5
9 11468600 1006470 15
10 11495135 927650 18
11 11473610 999470 9
12 11459415 982370 0
13 11509135 924915 5
14 11470580 1016730 15
15 11463280 1013310 0
16 11459480 992790 12
17 11510195 944910 6
18 11492920 941490 1
19 11484495 989210 11


Net n1 33
0 11453730 1017145 0
1 11468765 951555 5
2 11476085 935175 1
3 11550680 897030 8
4 11486725 938270 28
5 11467580 976090 7
6 11471775 965630 5
7 11466485 992595 24
8 11545295 903710 20
9 11470880 958590 6
10 11514335 928335 22
11 11502205 951555 27
12 11530415 897555 20
13 11488360 996210 19
14 11482925 976215 5
15 11480140 1017130 23
16 11506740 935050 28
17 11468005 1006275 24
18 11494580 928210 28
19 11473095 999470 17
20 11530095 910550 31
21 11458860 982930 5
22 11509645 924915 16
23 11470120 1016730 24
24 11462685 1013115 0
25 11458885 992595 7
26 11552455 900650 8
27 11508765 944715 16
28 11492325 941295 29
29 11477410 955010 9
30 11509640 897030 31
31 11503495 913970 18
32 11483940 989770 13


Net n2 17
0 14572770 4013065 0
1 14561705 3769585 2
2 14567815 3773090 0
3 14524465 3779845 2
4 14345960 3807450 11
5 14282710 3855550 12
6 14212200 3927150 7
7 14230345 3892705 5
8 14489505 3779845 3
9 14210585 3961105 6
10 14576680 3766250 2
11 14404415 3786770 15
12 14283545 3844825 4
13 14207545 4005565 14
14 14205190 3982090 9
15 14463590 3780310 8
16 14206025 4012405 13


Net n3 26
0 14427370 3753470 0
1 14560745 3769585 16
2 14619055 3978650 22
3 14645655 3982070 2
4 14710645 3896570 24
5 14603095 3982070 2
6 14686695 3927350 21
7 14444200 3749520 0
8 14712165 3917090 12
9 14711405 3852435 20
10 14670735 3982395 19
11 14690495 3982395 19
12 14713295 3910250 4
13 14714815 3951615 8
14 14626655 3982070 2
15 14594735 3982395 5
16 14556185 3773005 7
17 14553905 3790105 16
18 14714445 3903410 12
19 14659335 3978975 3
20 14689615 3855855 22
21 14681375 3978650 10
22 14610075 3841850 17
23 14695565 3896895 4
24 14707725 3876050 20
25 14710255 3964970 13


Net n4 3
0 13199210 562610 0
1 13199515 579170 2
2 13199470 575305 0


Net n5 21
0 13118365 545185 0
1 13207465 563055 17
2 13191505 624615 8
3 13126145 593835 10
4 13120825 573315 0
5 13123105 542535 0
6 13149705 628035 7
7 13140585 610935 16
8 13170225 628035 6
9 13162625 569895 14
10 13128425 590415 4
11 13174785 563055 9
12 13157305 597255 16
13 13109425 549375 0
14 13148185 576735 15
15 13136785 583575 4
16 13138305 597255 15
17 13196825 566475 11
18 13145905 586995 15
19 13165665 556215 9
20 13123105 566475 4


Net n6 4
0 11549215 435745 0
1 11456580 439150 0
2 11356785 441925 1
3 11552190 446105 0


Net n7 3
0 14223665 1328365 0
1 14228045 1328475 0
2 14227305 1331125 0


Net n8 28
0 14540850 1236025 0
1 14229055 1328475 11
2 14236655 1184510 19
3 14245015 1325055 1
4 14241975 1359255 27
5 14221455 1358930 27
6 14245015 1208450 16
7 14223735 1314795 21
8 14536095 1246395 0
9 14531535 1304535 15
10 14531535 1348995 13
11 14226775 1321310 7
12 14244255 1171155 2
13 14535965 1342155 24
14 14238935 1256330 16
15 14537615 1252910 0
16 14245775 1246395 8
17 14255655 1318215 25
18 14520895 1307955 9
19 14242735 1198190 6
20 14233615 1342155 1
21 14223735 1297370 14
22 14241975 1304210 21
23 14522285 1342155 24
24 14529885 1321635 9
25 14250335 1307955 22
26 14503415 1328475 24
27 14227535 1352415 1


Net n9 22
0 9141050 2918665 0
1 8899480 2945450 0
2 8872995 2952450 10
3 8872120 3003590 6
4 8864635 2945610 15
5 8929235 3024270 17
6 8872995 3000330 19
7 8941280 3013850 12
8 8875895 3004095 3
9 8871335 2942535 15
10 8868525 2956070 15
11 8894735 2946135 1
12 8934645 3014210 14
13 8867560 2942030 9
14 8909935 2986850 18
15 8869655 2945810 11
16 8872120 2983070 20
17 8929325 3021050 12
18 8904800 2986490 1
19 8869655 3000530 20
20 8868895 2983430 10
21 9149585 2870895 0


Net n10 19
0 8916050 2597135 0
1 8898020 2946010 8
2 8914125 3044595 14
3 8824130 2600390 0
4 9004125 2976145 5
5 8902580 2966530 1
6 8887380 2942590 1
7 8875220 2863930 18
8 8898020 2853670 13
9 8951365 2863335 12
10 8980100 3072550 17
11 8962620 2887870 9
12 8955165 2849655 15
13 8911085 2853075 0
14 8907285 3017235 5
15 8933125 2849655 13
16 8871565 2897535 7
17 8961245 3068535 2
18 8886005 2870175 8

